species,toxicity,HAB,genus
Cochlodinium polykrikoides,high,1,other
Alexandrium catenella,medium,1,other
Chattonella antiqua,low,1,other
Noctiluca scintillans,high,1,other
Lingulodinium polyedrum,high,1,other
Thalassiosira mala,medium,1,diatom
Skeletonema costatum,low,1,diatom
Cylindrotheca closterium,low,1,diatom
Pseudo-nitzschia australis,high,1,diatom
Chaetoceros concavicorne,medium,1,diatom
Aphanocapsa conferta,non,0,other
Chroococcus distans,non,0,other
Coelosphaerium dubium,non,0,other
Cyanodictyon planctonicum,non,0,other
Microcystis wesenbergii,non,0,other
Radiocystis geminata,non,0,other
Snowella fennica,non,0,other
Woronichinia compacta,non,0,other
Pseudanabaena acicularis,non,0,other
Planktolyngbya contorta,non,0,other
Aphanizomenon gracile,non,0,other
Cryptomonas platyuris,non,0,other
Actinocyclus normanii,non,0,diatom
Cerataulina pelagica,non,0,diatom
Coscinodiscus wailesii,non,0,diatom
Cyclotella radiosa,non,0,diatom
Detonula confervacea,non,0,diatom
Guinardia delicatula,non,0,diatom
Leptocylindrus danicus,non,0,diatom
Proboscia alata,non,0,diatom
Rhizosolenia setigera,non,0,diatom
Skeletonema subsalsum,non,0,diatom
Cryptaulax marina,non,0,other
Planctonema lauterbornii,non,0,other
Ebria tripartita,non,0,other
Golenkinia radiata,non,0,other
Lagerheimia subsalsa,non,0,other
Pediastrum biradiatum,non,0,other
Scenedesmus apiculatus,non,0,other
Tetrastrum elegans,non,0,other
