"","region","latitude","longitude","exposure","date","time","temperature","phosphate","nitrate","silicate","toxicity","HAB","genus","species","spec_biomass"
"1","Elbe Estuary",53.90433,8.78906,"low","20.03.18",12:00:00,7.3064,1.069318,19.74528,7.4605571,"high",1,"other","Lingulodinium polyedrum",0.335589278
"2","Elbe Estuary",53.90433,8.78906,"low","20.03.18",12:00:00,7.3064,1.069318,19.74528,7.4605571,"low",1,"diatom","Cylindrotheca closterium",9.937806373
"3","Elbe Estuary",53.90433,8.78906,"low","20.03.18",12:00:00,7.3064,1.069318,19.74528,7.4605571,"non",0,"diatom","Actinocyclus normanii",1.815196744
"4","Elbe Estuary",53.90433,8.78906,"low","20.03.18",12:00:00,7.3064,1.069318,19.74528,7.4605571,"non",0,"diatom","Cyclotella radiosa",0.638698046
"5","Elbe Estuary",53.90433,8.78906,"low","20.03.18",12:00:00,7.3064,1.069318,19.74528,7.4605571,"non",0,"diatom","Leptocylindrus danicus",1.960538263
"6","Elbe Estuary",53.90433,8.78906,"low","20.03.18",12:00:00,7.3064,1.069318,19.74528,7.4605571,"non",0,"diatom","Proboscia alata",0.57057231
"7","Elbe Estuary",53.90433,8.78906,"low","20.03.18",12:00:00,7.3064,1.069318,19.74528,7.4605571,"non",0,"diatom","Rhizosolenia setigera",0.438199604
"8","Elbe Estuary",53.90433,8.78906,"low","20.03.18",12:00:00,7.3064,1.069318,19.74528,7.4605571,"non",0,"diatom","Skeletonema subsalsum",1.201999281
"9","Elbe Estuary",53.90433,8.78906,"low","20.03.18",12:00:00,7.3064,1.069318,19.74528,7.4605571,"non",0,"other","Aphanizomenon gracile",0.657577685
"10","Elbe Estuary",53.90433,8.78906,"low","20.03.18",12:00:00,7.3064,1.069318,19.74528,7.4605571,"non",0,"other","Coelosphaerium dubium",0.676500325
"11","Elbe Estuary",53.90433,8.78906,"low","20.03.18",12:00:00,7.3064,1.069318,19.74528,7.4605571,"non",0,"other","Cryptomonas platyuris",0.143862108
"12","Elbe Estuary",53.90433,8.78906,"low","20.03.18",12:00:00,7.3064,1.069318,19.74528,7.4605571,"non",0,"other","Cyanodictyon planctonicum",0.479213941
"13","Elbe Estuary",53.90433,8.78906,"low","20.03.18",12:00:00,7.3064,1.069318,19.74528,7.4605571,"non",0,"other","Planctonema lauterbornii",1.28442691
"14","Elbe Estuary",53.90433,8.78906,"low","20.03.18",12:00:00,7.3064,1.069318,19.74528,7.4605571,"non",0,"other","Snowella fennica",1.115345734
"15","Elbe Estuary",53.90433,8.78906,"low","20.03.18",12:00:00,7.3064,1.069318,19.74528,7.4605571,"non",0,"other","Woronichinia compacta",1.320845037
